爬取时间(__time),爬取链接(__url),股票代码(symbol),股票名称(name),当前价(current),涨跌幅(percentage),涨跌额(change),今开(open),最高(high),最低(low),今收(close),昨收(last_close),52周最高(high52w),52周最低(low52week),成交量(volume),平均成交量(volumeAverage),总市值(marketCapital),每股收益(eps),市盈率TTM(pe_ttm),市盈率LYR(pe_lyr),总股本(totalShares),收盘时间(time),更新日期(updateAt),每股股息(dividend),收益率(yield),周转率(turnover_rate),涨停价(rise_stop),跌停价(fall_stop),货币单位(currency_unit),成交额(amount),每股净资产(net_assets),振幅(amplitude),每手股数(lot_size),流通股本(float_shares),流通市值(float_market_capital),市净率TTM(pb),市销率TTM(psr),关注数(fans),
"2018-08-23 00:33:54","http://xueqiu.com/v4/stock/quote.json?code=SH600561","SH600561","江西长运","5.90","-0.51%","-0.03","5.9","6.21","5.89","5.9","5.93","10.32","5.58","2786800.0","12021290","1.3986776E9","0.02","46.283","68.726","237064000","Wed Aug 22 15:00:00 +0800 2018","1493004630348","0.03","0.51%","1.18%","6.52","5.34","CNY","1.6771274E7","5.9578","5.40%","100","237064000","1.3986776E9","0.99","0.4967","4105",
"2018-08-23 00:33:52","http://xueqiu.com/v4/stock/quote.json?code=SH600560","SH600560","金自天正","7.90","-1.5%","-0.12","7.92","8.25","7.89","7.9","8.02","15.67","7.42","2074839.0","20446361","1.76679945E9","0.02","96.762","87.436","223645500","Wed Aug 22 15:00:00 +0800 2018","1533119612538","0.03","0.38%","0.93%","8.82","7.22","CNY","1.6596728E7","3.3407","4.49%","100","223645499","1.7667994421E9","2.36","3.3595","8608",
"2018-08-23 00:33:51","http://xueqiu.com/v4/stock/quote.json?code=SH600559","SH600559","老白干酒","17.50","-0.62%","-0.11","17.5","17.71","17.33","17.5","17.61","28.38","15.91","2516557.0","1475038","1.165521686E10","0.23","44.435","71.276","666012392","Wed Aug 22 15:00:00 +0800 2018","1525399869595","0.2","1.14%","0.51%","19.37","15.85","CNY","4.4051471E7","3.8205","2.16%","100","490000000","8.575E9","4.58","4.0375","38550",
"2018-08-23 00:33:50","http://xueqiu.com/v4/stock/quote.json?code=SH600558","SH600558","大西洋","4.28","-1.15%","-0.05","4.32","4.33","4.28","4.28","4.33","8.38","3.69","1212050.0","28938562","3.84174867668E9","0.01","95.638","81.817","897604831","Wed Aug 22 15:00:00 +0800 2018","1513771202201","0.02","0.47%","0.14%","4.76","3.9","CNY","5202858.0","2.1034","1.15%","100","897604830","3.8417486724E9","2.03","1.7587","26908",
"2018-08-23 00:33:49","http://xueqiu.com/v4/stock/quote.json?code=SH600557","SH600557","康缘药业","10.69","-0.56%","-0.06","10.7","10.82","10.67","10.69","10.75","16.2","10.4","1049499.0","8474797","6.58984110349E9","0.15","17.271","17.63","616449121","Wed Aug 22 15:00:00 +0800 2018","1508540460430","0.06","0.56%","0.18%","11.83","9.68","CNY","1.1271687E7","5.8076","1.40%","100","598531235","6.39829890215E9","1.84","1.9374","43305",
"2018-08-23 00:33:47","http://xueqiu.com/v4/stock/quote.json?code=SH600556","SH600556","ST慧球","3.21","0.63%","0.02","3.2","3.3","3.17","3.21","3.19","11.33","3.1","2776994.0","23623678","1.26728779947E9","-0.01","616.164","399.901","394793707","Wed Aug 22 14:56:03 +0800 2018","1493004923780","0.0","0.0%","0.70%","3.35","3.03","CNY","8964147.0","0.189","4.08%","100","394793707","1.26728779947E9","16.98","15.0284","16323",
"2018-08-23 00:33:46","http://xueqiu.com/v4/stock/quote.json?code=SH600555","SH600555","海航创新","3.34","-1.47%","-0.05","3.37","3.43","3.33","3.34","3.39","6.53","2.72","6209500.0","24040466","4.35369E9","0.01","36.444","76.816","1303500000","Wed Aug 22 15:00:00 +0800 2018","1525762831265","0.0","0.0%","0.64%","3.73","3.05","CNY","2.0877611E7","1.2182","2.95%","100","973500000","3.25149E9","2.74","172.3356","20881",
"2018-08-23 00:33:45","http://xueqiu.com/v4/stock/quote.json?code=SH600552","SH600552","凯盛科技","4.31","-1.15%","-0.05","4.34","4.36","4.25","4.31","4.36","10.05","4.15","3991200.0","13387226","3.30598365532E9","0.02","41.715","42.707","767049572","Wed Aug 22 15:00:00 +0800 2018","1493006400993","0.1","2.32%","0.54%","4.8","3.92","CNY","1.7138087E7","3.0989","2.52%","100","740894020","3.1932532262E9","1.39","0.9739","16832",
"2018-08-23 00:33:43","http://xueqiu.com/v4/stock/quote.json?code=SH600551","SH600551","时代出版","8.20","-0.85%","-0.07","8.27","8.29","8.2","8.2","8.27","14.72","8.1","980255.0","20733459","4.1477674272E9","0.34","13.044","13.817","505825296","Wed Aug 22 15:00:00 +0800 2018","1508551200907","0.18","2.2%","0.19%","9.1","7.44","CNY","8082858.0","9.2685","1.09%","100","505825296","4.1477674272E9","0.88","0.689","25640",
"2018-08-23 00:33:42","http://xueqiu.com/v4/stock/quote.json?code=SH600550","SH600550","保变电气","4.03","-0.74%","-0.03","4.04","4.07","4.02","4.03","4.06","9.68","3.86","2187158.0","24339588","7.4213597744E9","-0.04","","91.714","1841528480","Wed Aug 22 15:00:00 +0800 2018","1510214411812","0.0","0.0%","0.14%","4.47","3.65","CNY","8837512.0","0.8386","1.23%","100","1534607067","6.18446648001E9","4.81","1.8422","25705",
